电台名称,播放地址,地址来源
珠海电台活力915,https://ls.qingting.fm/live/2473319.m3u8,qingting.fm
荆门之声频率 FM89.7,https://live.jmtv.com.cn/xwzhpl/sd/live.m3u8,jmtv.com.cn
荆门交通音乐频率 FM99.3 (Opt-1),https://live.jmtv.com.cn/jtyypl/sd/live.m3u8,jmtv.com.cn
荆门交通音乐频率 FM99.3 (Opt-2),https://ls.qingting.fm/live/60808.m3u8,qingting.fm
衡阳交通广播 FM101.8,https://ls.qingting.fm/live/5079921.m3u8,qingting.fm
衡阳新闻广播 FM98.9,https://ls.qingting.fm/live/5079970.m3u8,qingting.fm
襄阳交通广播 FM89.0 (Opt-1),https://ls.qingting.fm/live/1307.m3u8,qingting.fm
襄阳交通广播 FM89.0 (Opt-2),https://ls.qingting.fm/live/1308.m3u8,qingting.fm
襄阳音乐广播,https://ls.qingting.fm/live/5057.m3u8,qingting.fm
西寧交通频率,https://ls.qingting.fm/live/3400408.m3u8,qingting.fm
西寧新闻频率,https://ls.qingting.fm/live/3400403.m3u8,qingting.fm
西安交通广播 FM104.3 (Opt-1),https://ls.qingting.fm/live/1611.m3u8,qingting.fm
西安交通广播 FM104.3 (Opt-2),https://stream3.xiancity.cn/5/sd/live.m3u8,xiancity.cn
西安新闻广播 FM95.0 (Opt-1),https://ls.qingting.fm/live/1610.m3u8,qingting.fm
西安新闻广播 FM95.0 (Opt-2),https://stream3.xiancity.cn/1/sd/live.m3u8,xiancity.cn
西安资讯广播 FM106.1,https://stream3.xiancity.cn/2/sd/live.m3u8,xiancity.cn
西安音乐广播 FM93.1 (Opt-1),https://ls.qingting.fm/live/1612.m3u8,qingting.fm
西安音乐广播 FM93.1 (Opt-2),https://stream3.xiancity.cn/4/sd/live.m3u8,xiancity.cn
贵州电台交通广播 FM95.2,https://ls.qingting.fm/live/23927.m3u8,qingting.fm
郑州新闻广播 FM98.6,https://ls.qingting.fm/live/1220.m3u8,qingting.fm
郑州汽车广播 FM91.2,https://ls.qingting.fm/live/1211.m3u8,qingting.fm
郑州活力944,https://ls.qingting.fm/live/4921.m3u8,qingting.fm
郑州私家车 FM91.8,https://ls.qingting.fm/live/1222.m3u8,qingting.fm
郑州经典广播 FM107.9,https://ls.qingting.fm/live/1223.m3u8,qingting.fm
郑州车道931,https://ls.qingting.fm/live/1221.m3u8,qingting.fm
郴州综合广播 FM99.2,https://ls.qingting.fm/live/76765.m3u8,qingting.fm
郴州音乐交通广播 FM102.8,https://ls.qingting.fm/live/86747.m3u8,qingting.fm
长春生活故事广播 FM90.0,https://ls.qingting.fm/live/5014.m3u8,qingting.fm
长沙城市之声 FM101.7,https://ls.qingting.fm/live/4237.m3u8,qingting.fm
长沙新闻广播 FM105.0,https://ls.qingting.fm/live/4877.m3u8,qingting.fm
长治交通文艺广播 FM94.9,https://ls.qingting.fm/live/2669405.m3u8,qingting.fm
长治新闻综合广播(幸福广播) FM94.3,https://ls.qingting.fm/live/2702863.m3u8,qingting.fm
阳信人民广播电台 FM103.4,https://ls.qingting.fm/live/2915753.m3u8,qingting.fm
阳泉交通广播,https://ls.qingting.fm/live/4592896.m3u8?aac,qingting.fm
阳泉新闻综合广播,https://ls.qingting.fm/live/5876899.m3u8?aac,qingting.fm
陕西交通广播 FM91.6,https://ls.qingting.fm/live/1601.m3u8,qingting.fm
陕西农村广播 AM900,https://ls.qingting.fm/live/1602.m3u8,qingting.fm
陕西戏曲广播 AM747,https://ls.qingting.fm/live/1606.m3u8,qingting.fm
陕西都市广播-陕广新闻 FM101.8,https://ls.qingting.fm/live/1609.m3u8,qingting.fm
陕西音乐广播 FM98.8,https://ls.qingting.fm/live/4873.m3u8,qingting.fm
青海交通音乐广播 FM97.2,https://ls.qingting.fm/live/5009.m3u8,qingting.fm
青海生活广播 花儿调频 FM90.3,https://ls.qingting.fm/live/2163891.m3u8,qingting.fm
青海经济广播 FM07.5,https://ls.qingting.fm/live/5008.m3u8,qingting.fm
鹤壁交通音乐广播 FM93.5,https://ls.qingting.fm/live/3032681.m3u8,qingting.fm
鹤山电台104.7,https://ls.qingting.fm/live/1286.m3u8,qingting.fm
黔西南金州之声 FM107.9,https://ls.qingting.fm/live/5045.m3u8,qingting.fm
龙广乡村广播 AM945,https://stream3.hljtv.com/hljrdnc/sd/live.m3u8,hljtv.com
龙广交通广播 FM99.8,https://ls.qingting.fm/live/4973.m3u8,qingting.fm
龙广北大荒之声 FM104.6,https://stream3.hljtv.com/hljrdgx/sd/live.m3u8,hljtv.com
龙广新闻广播 FM94.6,https://stream3.hljtv.com/hljrdjt/sd/live.m3u8,hljtv.com
龙广新闻广播 FM94.6,https://ls.qingting.fm/live/4974.m3u8,qingting.fm
龙广朝鲜语广播 AM873,https://stream3.hljtv.com/hljrdcy/sd/live.m3u8,hljtv.com
龙广青苹果之声 FM104.6,https://ls.qingting.fm/live/4976.m3u8,qingting.fm
龙广音乐广播 FM95.8,https://stream3.hljtv.com/hljrdnx/sd/live.m3u8,hljtv.com
龙广音乐广播 FM95.8,https://ls.qingting.fm/live/4969.m3u8,qingting.fm
北京经典调频,https://live.funhillrm.com/4/sd/live.m3u8,funhillrm.com
北京城市广播,https://ls.qingting.fm/live/345.m3u8,qingting.fm
CNR民族之声,https://ngcdn009.cnr.cn/live/mzzs/index.m3u8,cnr.cn
CRI世界华声,https://sk.cri.cn/hxfh.m3u8,cri.cn
BCC中广音乐,https://stream.rcs.revma.com/ks4vsmg3qtzuv,rcs.revma.com
BCC中广新闻,https://stream.rcs.revma.com/78fm9wyy2tzuv,rcs.revma.com
BCC中广流行,https://stream.rcs.revma.com/aw9uqyxy2tzuv,rcs.revma.com
